Census Tract,FIPS,Area (Land),Area (Water),Total Population,Population Density (Per Sq. Mile),Area (Land),Area Total:,Area Total: Area (Land),Area Total: Area (Water),Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,Owner Occupied Housing Units,"Owner Occupied Housing Units: White Alone, Not Hispanic or Latino Homeowners ",Owner Occupied Housing Units: Non-White Homeowners,Renter-Occupied Housing Units,Renter-Occupied Housing Units: White Alone Householder,Renter-Occupied Housing Units: Black or African American Alone Householder,Renter-Occupied Housing Units: American Indian and Alaska Native Alone Householder,Renter-Occupied Housing Units: Asian Alone Householder,Renter-Occupied Housing Units: Native Hawaiian and Other Pacific Islander Alone Householder,Renter-Occupied Housing Units: Some Other Race Alone Householder,Renter-Occupied Housing Units: Two or More Races Householder,"Renter-Occupied Housing Units: White Alone, Not Hispanic or Latino Householder",Renter-Occupied Housing Units: Hispanic or Latino Householder
104108,06037104108,1096636,0,4962,11719.04,0.423413545,0.4234135,0.4234135,0,4962,1912,298,19,71,0,1364,1298,4962,527,102,298,0,71,0,15,41,4435,1269,499,770,499,27,472,770,301,48,0,23,0,202,196,45,654
104124,06037104124,4479733,632,4006,2316.096,1.729634655,1.729879,1.729635,0.000244017,4006,1974,525,131,330,0,440,606,4006,2139,1234,524,7,330,0,0,44,1867,1310,1009,301,1009,359,650,301,176,92,0,9,0,0,24,48,152
104201,06037104201,1090097,0,4636,11014.79,0.420888823,0.4208888,0.4208888,0,4636,1215,527,80,172,0,1920,722,4636,743,16,527,33,167,0,0,0,3893,871,685,186,685,11,674,186,87,0,0,15,0,50,34,0,171
104203,06037104203,707989,0,5182,18956.96,0.273356093,0.2733561,0.2733561,0,5182,1614,205,115,86,0,1987,1175,5182,330,25,192,0,86,0,10,17,4852,1124,653,471,653,11,642,471,101,21,20,0,0,226,103,0,450
104204,06037104204,2660594,3735,3691,3593.049,1.02726113,1.028703,1.027261,0.001442092,3691,1555,190,60,202,0,937,747,3691,837,374,190,40,202,0,0,31,2854,715,482,233,482,68,414,233,85,0,0,8,0,60,80,0,220
104310,06037104310,1508621,0,4392,7540.149,0.582481849,0.5824819,0.5824819,0,4392,1299,84,84,8,0,1861,1056,4392,311,92,77,0,8,0,122,12,4081,927,768,159,768,25,743,159,67,0,0,0,0,51,41,6,153
104321,06037104321,519857,0,2890,14398.32,0.200717918,0.2007179,0.2007179,0,2890,605,50,7,0,0,1390,838,2890,143,10,50,7,0,0,45,31,2747,820,328,492,328,0,328,492,96,24,7,0,0,167,198,0,450
104322,06037104322,692312,0,1787,6685.293,0.267303169,0.2673032,0.2673032,0,1787,552,5,8,16,4,773,429,1787,153,91,5,2,16,4,0,35,1634,445,300,145,300,4,296,145,58,0,0,0,0,37,50,0,110
104401,06037104401,681117,0,2977,11320.22,0.262980755,0.2629808,0.2629808,0,2977,906,30,13,38,5,1436,549,2977,148,80,30,0,38,0,0,0,2829,607,320,287,320,11,309,287,74,20,0,7,0,111,75,8,252
104403,06037104403,693083,0,2352,8789.21,0.267600854,0.2676009,0.2676009,0,2352,706,0,0,111,0,1143,392,2352,150,39,0,0,111,0,0,0,2202,537,392,145,392,12,380,145,60,0,0,5,0,46,34,0,140
104404,06037104404,539620,0,3323,15949.24,0.208348456,0.2083485,0.2083485,0,3323,994,0,16,83,0,1547,683,3323,127,44,0,0,83,0,0,0,3196,756,358,398,358,1,357,398,114,0,0,0,0,185,99,0,398
104500,06037104500,531002,0,3301,16100.79,0.205021027,0.205021,0.205021,0,3301,896,2,7,1,0,1269,1126,3301,73,56,2,7,1,0,7,0,3228,626,502,124,502,18,484,124,23,0,0,0,0,40,61,0,124
104610,06037104610,592138,0,3122,13655.5,0.22862577,0.2286258,0.2286258,0,3122,1151,0,37,0,0,1585,349,3122,87,87,0,0,0,0,0,0,3035,640,425,215,425,3,422,215,57,0,0,0,0,108,50,4,211
104620,06037104620,531171,0,3528,17202.52,0.205086278,0.2050863,0.2050863,0,3528,1256,33,31,13,0,1243,952,3528,93,81,12,0,0,0,0,0,3435,722,441,281,441,20,421,281,58,0,0,0,0,62,161,0,281
104701,06037104701,550504,0,3891,18306.21,0.212550792,0.2125508,0.2125508,0,3891,2051,7,58,8,13,1137,617,3891,54,27,6,0,8,13,0,0,3837,909,201,708,201,0,201,708,312,1,9,0,0,249,137,0,708
104703,06037104703,1168239,0,2298,5094.67,0.451059619,0.4510596,0.4510596,0,2298,803,144,13,0,0,491,847,2298,304,166,123,0,0,0,0,15,1994,593,176,417,176,45,131,417,149,19,9,0,0,92,148,37,361
104704,06037104704,1663127,0,4567,7112.19,0.642136952,0.6421369,0.6421369,0,4567,1462,394,0,203,0,1482,1026,4567,1034,314,394,0,203,0,0,123,3533,1198,774,424,774,79,695,424,158,40,0,38,0,118,70,61,254
104821,06037104821,531802,0,3431,16709.69,0.205329909,0.2053299,0.2053299,0,3431,1167,39,9,37,0,1323,856,3431,261,158,39,0,37,0,0,27,3170,752,277,475,277,0,277,475,196,12,4,3,0,124,136,16,444
104822,06037104822,604352,0,2461,10546.77,0.233341622,0.2333416,0.2333416,0,2461,805,6,17,81,0,914,638,2461,163,45,0,0,81,0,0,37,2298,644,214,430,214,4,210,430,146,0,0,27,0,131,126,20,383
104823,06037104823,531333,0,3362,16388.1,0.205148827,0.2051488,0.2051488,0,3362,987,130,0,251,0,789,1205,3362,458,77,130,0,251,0,0,0,2904,693,497,196,497,42,455,196,59,0,0,6,0,74,57,0,190
104824,06037104824,592028,0,2657,11623.77,0.228583298,0.2285833,0.2285833,0,2657,566,0,57,0,13,1439,582,2657,82,12,0,57,0,13,0,0,2575,510,405,105,405,12,393,105,0,0,28,0,0,41,36,0,77
106010,06037106010,2517807,0,3578,3680.575,0.972130759,0.9721308,0.9721308,0,3578,1759,29,22,56,0,953,759,3578,1156,935,27,0,56,0,96,42,2422,900,693,207,693,293,400,207,72,3,0,13,0,72,47,30,135
106020,06037106020,2010764,7144,4576,5894.17,0.776360354,0.7791187,0.7763603,0.002758314,4576,1939,10,37,242,0,1561,787,4576,870,480,10,0,242,0,39,99,3706,1283,978,305,978,200,778,305,114,0,0,3,0,76,112,51,227
106111,06037106111,2774241,12394,4859,4536.287,1.071140484,1.075926,1.071141,0.004785351,4859,2135,336,5,761,0,942,680,4859,2152,1121,209,0,761,0,31,30,2707,1368,1295,73,1295,404,891,73,51,0,0,0,0,22,0,51,22
106112,06037106112,3228477,0,5125,4111.44,1.246521992,1.246522,1.246522,0,5125,2259,168,104,414,34,1144,1002,5125,1550,864,168,0,414,34,0,70,3575,1394,1178,216,1178,305,873,216,105,11,13,14,0,29,44,11,180
106113,06037106113,1443463,0,3871,6945.688,0.557324204,0.5573242,0.5573242,0,3871,1729,71,95,422,1,690,863,3871,955,494,50,27,365,1,0,18,2916,1017,836,181,836,155,681,181,112,6,0,0,0,59,4,12,163
106114,06037106114,1011120,3298,6800,17418.23,0.390395631,0.391669,0.3903956,0.001273365,6800,2655,130,36,755,0,2069,1155,6800,1227,290,130,10,755,0,0,42,5573,1705,891,814,891,116,775,814,334,34,4,0,0,371,71,37,743
106403,06037106403,1105644,0,3701,8669.649,0.426891553,0.4268916,0.4268916,0,3701,1640,61,23,52,69,1436,420,3701,468,288,59,0,52,69,0,0,3233,870,647,223,647,95,552,223,100,0,0,0,0,111,12,13,210
106405,06037106405,1171734,0,4340,9593.089,0.452409046,0.4524091,0.4524091,0,4340,1690,431,36,272,0,909,1002,4340,1257,628,295,0,272,0,0,62,3083,1190,708,482,708,110,598,482,237,60,0,0,0,156,29,46,436
106406,06037106406,2012822,916,6534,8407.59,0.777154952,0.7775086,0.7771549,0.00035367,6534,3056,123,0,521,0,1641,1193,6534,1951,1287,123,0,521,0,0,20,4583,1845,1424,421,1424,471,953,421,211,15,0,9,0,117,69,112,285
106407,06037106407,232136,0,2352,26241.74,0.089628214,0.08962821,0.08962821,0,2352,1105,196,10,69,0,670,302,2352,509,241,191,0,69,0,3,5,1843,812,132,680,132,22,110,680,241,89,10,29,0,190,121,53,506
106408,06037106408,229070,0,3733,42207.3,0.088444425,0.08844443,0.08844443,0,3733,1353,94,137,79,8,936,1126,3733,288,99,94,0,79,0,16,0,3445,1000,176,824,176,18,158,824,336,21,25,8,0,203,231,59,736
106510,06037106510,5782012,8398,5717,2560.867,2.232447409,2.23569,2.232447,0.003242486,5717,2520,122,41,1275,0,1009,750,5717,2408,706,118,0,1275,0,92,217,3309,1630,1259,371,1259,308,951,371,296,0,0,13,0,50,12,66,292
106520,06037106520,2205882,0,5545,6510.54,0.851695838,0.8516958,0.8516958,0,5545,2606,332,108,163,0,1761,575,5545,787,309,289,0,163,0,0,26,4758,1421,1002,419,1002,143,859,419,186,19,0,0,0,153,61,0,400
106603,06037106603,10318680,2478,3544,889.5438,3.984064791,3.985022,3.984065,0.000956761,3544,2070,83,0,570,0,206,615,3544,2494,1739,83,0,570,0,0,102,1050,1185,1043,142,1043,531,512,142,80,0,0,13,0,38,11,65,64
106604,06037106604,2611563,8851,4010,3976.872,1.008330154,1.011748,1.00833,0.00341739,4010,1355,102,39,202,0,1516,796,4010,521,217,102,0,202,0,0,0,3489,1241,516,725,516,47,469,725,308,49,0,23,0,212,133,70,583
106641,06037106641,1135493,0,2197,5011.219,0.438416317,0.4384163,0.4384163,0,2197,1550,51,0,349,0,22,225,2197,2081,1539,51,0,349,0,0,142,116,746,658,88,658,482,176,88,83,0,0,5,0,0,0,83,0
106642,06037106642,1577594,0,3442,5650.845,0.609112475,0.6091125,0.6091125,0,3442,2450,82,54,242,0,214,400,3442,2714,2300,82,0,242,0,0,90,728,1147,1028,119,1028,778,250,119,119,0,0,0,0,0,0,73,46
106643,06037106643,4338941,0,4306,2570.325,1.675274557,1.675275,1.675275,0,4306,2566,273,0,885,0,482,100,4306,3836,2229,245,0,885,0,438,39,470,1353,1259,94,1259,816,443,94,94,0,0,0,0,0,0,82,12
106645,06037106645,2527932,0,3769,3861.522,0.976040043,0.9760401,0.9760401,0,3769,2785,9,147,382,0,212,234,3769,2846,2293,9,66,382,0,0,96,923,1246,1134,112,1134,828,306,112,112,0,0,0,0,0,0,84,28
106646,06037106646,1476213,0,3011,5282.743,0.56996905,0.5699691,0.5699691,0,3011,1527,146,12,582,0,394,350,3011,2209,1263,146,10,542,0,52,196,802,963,813,150,813,378,435,150,122,0,0,28,0,0,0,119,3
106648,06037106648,792932,0,4581,14963.12,0.30615277,0.3061528,0.3061528,0,4581,2347,0,128,0,0,1073,1033,4581,253,229,0,24,0,0,0,0,4328,1171,487,684,487,30,457,684,338,0,0,0,0,155,191,35,649
106649,06037106649,1112675,0,2776,6461.731,0.429606238,0.4296062,0.4296062,0,2776,672,28,10,541,0,1137,388,2776,860,245,28,10,536,0,0,41,1916,641,547,94,547,71,476,94,55,0,0,12,0,27,0,5,77
107010,06037107010,684671,0,3177,12018.02,0.264352962,0.2643529,0.2643529,0,3177,1299,28,129,97,0,956,668,3177,318,128,28,65,97,0,0,0,2859,760,520,240,520,39,481,240,84,4,0,0,0,66,86,0,236
107020,06037107020,993964,0,4610,12012.35,0.383771662,0.3837717,0.3837717,0,4610,1756,46,133,190,131,1116,1238,4610,566,278,46,0,182,30,0,30,4044,1151,778,373,778,76,702,373,128,0,9,6,0,93,137,0,367
108101,06037108101,1128633,0,2274,5218.377,0.435767656,0.4357677,0.4357677,0,2274,1314,32,59,501,0,68,300,2274,1750,1154,32,0,501,0,0,63,524,762,665,97,665,385,280,97,61,0,0,29,0,7,0,28,40
108102,06037108102,2183817,0,3596,4264.825,0.843176493,0.8431765,0.8431765,0,3596,1829,57,0,1353,0,222,135,3596,3166,1703,56,0,1353,0,0,54,430,1185,1045,140,1045,564,481,140,119,15,0,6,0,0,0,101,18
108103,06037108103,2564931,0,2968,2996.995,0.990325438,0.9903255,0.9903255,0,2968,1757,59,0,757,0,45,350,2968,2718,1684,59,0,757,0,45,173,250,976,890,86,890,548,342,86,57,0,0,29,0,0,0,57,0
108104,06037108104,826020,0,1738,5449.504,0.318928119,0.3189281,0.3189281,0,1738,923,81,0,374,0,213,147,1738,1571,923,81,0,374,0,156,37,167,553,439,114,439,286,153,114,33,81,0,0,0,0,0,33,0
108202,06037108202,5976110,3024,9302,4031.396,2.307389069,2.308557,2.307389,0.001167573,9302,3130,1457,36,3629,45,382,623,9302,8557,2968,1457,36,3609,45,57,385,745,3254,2288,966,2288,687,1601,966,478,186,0,211,0,15,76,423,137
108203,06037108203,1372380,0,3170,5982.499,0.529878903,0.5298789,0.5298789,0,3170,1110,533,86,1319,0,41,81,3170,2905,1021,533,0,1307,0,0,44,265,1156,800,356,800,299,501,356,185,99,0,72,0,0,0,185,0
108204,06037108204,1432707,0,1780,3217.81,0.553171289,0.5531713,0.5531713,0,1780,686,95,11,886,0,0,102,1780,1691,649,95,11,886,0,0,50,89,651,616,35,616,258,358,35,15,0,0,20,0,0,0,15,0
109100,06037109100,2705905,0,2675,2560.407,1.044755806,1.044756,1.044756,0,2675,1285,97,34,462,0,467,330,2675,1388,829,97,0,462,0,0,0,1287,850,618,232,618,182,436,232,147,0,0,31,0,16,38,106,95
109200,06037109200,1016942,0,3161,8050.56,0.392643518,0.3926435,0.3926435,0,3161,728,118,0,1113,0,722,480,3161,1948,662,118,0,1113,0,0,55,1213,1023,865,158,865,249,616,158,77,0,0,49,0,12,20,77,32
109300,06037109300,1233087,0,2864,6015.574,0.476097573,0.4760976,0.4760976,0,2864,1322,96,0,425,0,425,596,2864,1462,748,89,0,425,0,37,163,1402,904,828,76,828,273,555,76,36,0,0,13,0,11,16,24,39
109400,06037109400,1290832,0,4175,8376.923,0.498393043,0.498393,0.498393,0,4175,1011,17,54,112,262,1706,1013,4175,920,511,17,0,112,262,18,0,3255,1134,826,308,826,186,640,308,52,0,29,11,0,85,131,52,245
109500,06037109500,1194513,0,3699,8020.311,0.461204067,0.4612041,0.4612041,0,3699,1201,13,28,225,0,1722,510,3699,347,109,13,0,225,0,0,0,3352,990,661,329,661,33,628,329,167,0,0,0,0,133,29,9,320
109601,06037109601,2214612,33284,4831,5649.853,0.85506651,0.8679175,0.8550665,0.01285102,4831,1737,100,63,475,0,1694,762,4831,1831,1052,94,0,475,0,8,202,3000,1310,1151,159,1151,346,805,159,44,0,0,32,0,54,29,12,107
109603,06037109603,998894,0,3900,10112.14,0.385675146,0.3856751,0.3856751,0,3900,908,86,14,552,1,1960,379,3900,1104,461,86,0,469,1,64,23,2796,1242,762,480,762,169,593,480,97,35,0,52,0,231,65,59,334
109604,06037109604,1174875,0,2900,6392.991,0.453621793,0.4536218,0.4536218,0,2900,870,75,150,306,1,1030,468,2900,827,345,75,0,268,1,92,46,2073,874,705,169,705,139,566,169,52,0,0,33,0,65,19,44,112
109700,06037109700,1586861,0,4333,7072.086,0.612690484,0.6126905,0.6126905,0,4333,2349,257,13,580,0,438,696,4333,2733,1726,128,0,580,0,26,273,1600,1392,1000,392,1000,515,485,392,121,58,0,56,0,36,121,39,203
109800,06037109800,1399406,0,4584,8483.96,0.5403137,0.5403137,0.5403137,0,4584,2062,27,137,540,44,732,1042,4584,2094,1442,27,137,444,0,0,44,2490,1524,1135,389,1135,432,703,389,156,0,0,57,44,86,46,106,226
111100,06037111100,1059245,0,3076,7521.209,0.408976798,0.4089768,0.4089768,0,3076,1239,103,87,696,0,506,445,3076,1748,797,103,5,696,0,21,126,1328,924,609,315,609,262,347,315,122,22,5,108,0,32,26,76,88
111201,06037111201,1912806,0,3256,4408.707,0.738538557,0.7385386,0.7385386,0,3256,1743,10,31,507,0,466,499,3256,1727,1197,10,0,491,0,15,14,1529,1042,903,139,903,420,483,139,108,0,0,7,0,24,0,46,86
111202,06037111202,1866692,0,5670,7866.982,0.720733841,0.7207338,0.7207338,0,5670,2781,196,43,1210,0,321,1119,5670,4056,2371,196,34,1210,0,45,200,1614,1918,1185,733,1185,586,599,733,288,0,9,157,0,67,212,262,302
111204,06037111204,3294685,16600,5600,4402.221,1.272085044,1.278494,1.272085,0.006409296,5600,2805,163,9,1325,0,442,856,5600,4506,2628,126,9,1302,0,95,346,1094,1811,1624,187,1624,950,674,187,81,0,0,13,0,8,85,81,8
111205,06037111205,1141321,17739,3879,8802.575,0.44066652,0.4475156,0.4406665,0.006849066,3879,1694,136,0,994,0,797,258,3879,2712,1375,136,0,994,0,61,146,1167,1333,705,628,705,223,482,628,355,12,0,56,0,160,45,307,220
111206,06037111206,2611193,11548,4363,4327.569,1.008187297,1.012646,1.008187,0.004458708,4363,2295,283,0,962,0,239,584,4363,3537,2042,283,0,950,0,6,256,826,1419,1303,116,1303,709,594,116,14,19,0,12,0,0,71,14,0
111302,06037111302,1552799,0,4880,8139.586,0.599539071,0.599539,0.599539,0,4880,2397,308,5,1027,6,548,589,4880,3588,2150,308,4,997,6,0,123,1292,1749,866,883,866,551,315,883,386,77,0,179,0,182,59,340,297
111303,06037111303,1563907,0,4712,7803.548,0.603827894,0.6038279,0.6038279,0,4712,2492,144,5,975,0,310,786,4712,3474,2301,115,0,925,0,0,133,1238,1436,878,558,878,578,300,558,319,11,0,113,0,12,103,294,128
111304,06037111304,437442,0,3106,18389.87,0.168897308,0.1688973,0.1688973,0,3106,540,326,57,468,0,1008,707,3106,1582,506,326,0,468,0,59,223,1524,1331,57,1274,57,0,57,1274,257,199,16,209,0,373,220,257,508
111401,06037111401,840800,0,2293,7063.324,0.324634709,0.3246347,0.3246347,0,2293,1313,49,71,393,0,257,210,2293,1523,1129,32,0,362,0,0,0,770,674,429,245,429,227,202,245,108,0,0,17,0,25,95,65,163
111402,06037111402,971230,0,6146,16389.6,0.374994015,0.374994,0.374994,0,6146,3479,16,23,935,0,1045,648,6146,3524,2498,16,0,935,0,23,52,2622,2175,494,1681,494,322,172,1681,977,0,8,323,0,209,164,686,637
113101,06037113101,2265263,2714,3525,4030.308,0.874622971,0.8756709,0.874623,0.001047881,3525,2318,172,0,553,0,233,249,3525,2885,2067,172,0,543,0,0,103,640,1151,1049,102,1049,637,412,102,74,0,0,19,0,0,9,47,36
113102,06037113102,3653887,16997,2784,1973.385,1.410773718,1.417336,1.410774,0.006562578,2784,1667,31,0,422,0,96,568,2784,2276,1468,31,0,422,0,41,314,508,987,923,64,923,515,408,64,64,0,0,0,0,0,0,53,11
113211,06037113211,7280767,3053,4248,1511.141,2.811119974,2.812299,2.81112,0.00117877,4248,2426,492,8,662,0,376,284,4248,3534,2119,492,8,662,0,58,195,714,1599,1225,374,1225,787,438,374,137,138,0,53,0,0,46,128,9
113212,06037113212,998550,0,2888,7490.747,0.385542327,0.3855423,0.3855423,0,2888,1018,119,71,828,0,504,348,2888,2006,865,119,12,828,0,0,182,882,970,572,398,572,344,228,398,168,28,30,64,0,56,52,129,177
113213,06037113213,1300834,24,5087,10128.32,0.502254837,0.5022641,0.5022548,9.266452E-06,5087,2202,162,12,1057,0,749,905,5087,3430,1814,162,7,1048,0,35,364,1657,1705,1121,584,1121,558,563,584,268,38,5,86,0,123,64,186,210
113231,06037113231,4123059,18102,2161,1357.479,1.591922048,1.598911,1.591922,0.006989222,2161,1462,85,0,177,0,59,378,2161,1979,1433,85,0,177,0,0,284,182,831,728,103,728,547,181,103,50,18,0,0,0,19,16,50,19
